編號,案類,發生(現)日期,發生時段,發生(現)地點
246,住宅竊盜,1040603,16~18,台北市中山區長安東路二段31-60號
247,住宅竊盜,1040606,04~06,台北市中山區錦州街31-60號
248,住宅竊盜,1040606,10~12,台北市松山區南京東路五段123巷8弄1-30號
249,住宅竊盜,1040606,19~21,台北市松山區八德路三段12巷52弄1-30號
250,住宅竊盜,1040607,07~09,台北市中山區中山北路二段65巷2弄1-30號
251,住宅竊盜,1040607,10~12,台北市大安區民炤里新生南路一段137巷1-30號
252,住宅竊盜,1040608,07~09,台北市中山區民權東路一段31-60號
253,住宅竊盜,1040608,13~15,台北市士林區福林里中山北路五段460巷1-30號
254,住宅竊盜,1040608,22~24,台北市中山區長春路61-90號
255,住宅竊盜,1040609,16~18,台北市文山區試院里和興路91-120號
256,住宅竊盜,1040612,10~12,台北市信義區三張里莊敬路391-420號
257,住宅竊盜,1040615,10~12,台北市中山區建國北路二段116巷1-30號
258,住宅竊盜,1040615,16~18,台北市大安區建安里忠孝東路四段181巷7弄1-30號
259,住宅竊盜,1040616,07~09,台北市萬華區西藏路199巷1-30號
260,住宅竊盜,1040616,13~15,台北市文山區景東里景華街104巷1-30號
261,住宅竊盜,1040616,13~15,台北市文山區景東里景興路153巷14弄1~30號
262,住宅竊盜,1040619,07~09,台北市中山區長安東路一段52巷9弄1-30號
263,住宅竊盜,1040619,07~09,台北市文山區萬隆里羅斯福路五段211~240號
264,住宅竊盜,1040619,19~21,台北市中正區頂東里羅斯福路二段174巷1-30號
265,住宅竊盜,1040620,04~06,台北市松山區光復北路120巷121~150號
266,住宅竊盜,1040620,10~12,台北市信義區富陽街44巷1~30號
267,住宅竊盜,1040621,10~12,台北市士林區溪山里至善路三段1-30號
268,住宅竊盜,1040622,07~09,台北市北投區八仙里承德路七段401巷331弄1-30號
269,住宅竊盜,1040622,13~15,台北市士林區臨溪里5鄰故宮路41巷1-30號
270,住宅竊盜,1040622,13~15,台北市士林區臨溪里故宮路41巷1-30號
271,住宅竊盜,1040623,22~24,台北市大安區大安路一段16巷1-30號
272,住宅竊盜,1040624,04~06,台北市中山區新生北路三段1-30號
273,住宅竊盜,1040624,19~21,台北市中正區光復里重慶南路一段1-30號
274,住宅竊盜,1040625,22~24,台北市中山區明水路601~630號
